artsid;artsnavn;klassifikation
12010;Vindrossel;Alm
12012;Vindrossel, Islandsk (ssp. coburni);SUB
12020;Misteldrossel;Alm
12030;Vandredrossel;SU
12069;Drossel sp.;Alm
12200;Cettisanger;SU
12260;Cistussanger;SU
12350;Stribet Græshoppesanger;SU
12360;Græshoppesanger;Alm
12370;Flodsanger;SUB
12380;Savisanger;SUB
12390;Stor Græshoppesanger;SU
12420;Vandsanger;SU
12430;Sivsanger;Alm
12470;Lille Rørsanger;SU
12480;Buskrørsanger;SUB
12500;Kærsanger;Alm
12510;Rørsanger;Alm
12530;Drosselrørsanger;SUB
12550;Bleg Gulbug;SU
12560;Lille Gulbug;SU
12590;Gulbug;Alm
12600;Spottesanger;SU
12610;Sardinsk Sanger;SU
12620;Provencesanger;SU
12650;Rødstrubet Sanger/Iberisk Sanger/Makisanger;Alm
12651;Rødstrubet Sanger (ssp. cantillans);SU
12653;Rødstrubet Sanger (ssp. albistriata);SU
12654;Rødstrubet Sanger;SU
12655;Makisanger;SU
12656;Iberisk Sanger;SU
12670;Sorthovedet Sanger;SU
12690;Sortstrubet Sanger;SU
12700;Asiatisk Ørkensanger;SU
12730;Høgesanger;SUB
12739;Gærdesanger, Steppe (ssp. halimodendri);SU
12740;Gærdesanger;Alm
12742;Gærdesanger, Sibirisk (ssp. blythi);SU
12747;Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);SU
12750;Tornsanger;Alm
12760;Havesanger;Alm
12770;Munk;Alm
12910;Grøn Sanger;SU
12920;Østlig Lundsanger;SU
12930;Lundsanger;SUB
12950;Nordsanger;SU
12980;Fuglekongesanger;SUB
13000;Hvidbrynet Løvsanger;SUB
13005;Himalayasanger;SU
13010;Schwarz Løvsanger;SU
13030;Brun Løvsanger;SUB
13050;Sinkiangløvsanger;SU
13070;Bjergløvsanger;SU
13079;Bjergløvsanger/Balkanløvsanger;Alm
13080;Skovsanger;Alm
13110;Gransanger;Alm
13111;Gransanger, Sydlig (ssp. collybita);Alm
13113;Gransanger, Sibirisk (ssp. tristis);SUB
13114;Gransanger, Skandinavisk (ssp. abietinus);Alm
13116;Iberisk Gransanger;SU
13119;Gransanger x Løvsanger (hybrid);Alm
13120;Løvsanger;Alm
13121;Løvsanger, Almindelig (ssp. trochilus);Alm
13122;Løvsanger, Nordlig (ssp. acredula);Alm
13129;Phylloscopus sp.;Alm
13140;Fuglekonge;Alm
13150;Rødtoppet Fuglekonge;Alm
13168;Sanger sp.;Alm
13340;Brun Fluesnapper;SU
13350;Grå Fluesnapper;Alm
13430;Lille Fluesnapper;SUB
13432;Tajgafluesnapper;SU
13480;Hvidhalset Fluesnapper;SUB
13489;Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);Alm
13490;Broget Fluesnapper;Alm
13559;Fluesnapper sp.;Alm
13640;Skægmejse;Alm
14370;Halemejse;Alm
14371;Halemejse, Nordlig (ssp. caudatus);Alm
14374;Halemejse, Sydlig (ssp. europaeus);Alm
14378;Nordlig Halemejse x Sydlig Halemejse (hybrid);Alm
14400;Sumpmejse;Alm
14409;Sumpmejse/Fyrremejse;Alm
14420;Fyrremejse;Alm
14421;Fyrremejse, Nordlig (ssp. borealis);SU
14423;Fyrremejse, Pilemejse (ssp. salicarius);Alm
14540;Topmejse;Alm
14610;Sortmejse;Alm
14620;Blåmejse;Alm
14640;Musvit;Alm
14669;Mejse sp.;Alm
14790;Spætmejse;Alm
14791;Spætmejse, Lysbuget (ssp. europaea);Alm
14793;Spætmejse, Mørkbuget (ssp. caesia);Alm
14860;Træløber;Alm
